item_id,title,category,subcategory,brand,description,price,content_tags,base_quality,exposure_weight,is_cold_start_item,launch_date,price_percentile
12,Brightloom Lite Cookware 422,Home & Kitchen,Cookware,Brightloom,"Brightloom Lite Cookware built for gifting. This Home & Kitchen product features handcrafted and space saving construction. Part of the Brightloom Cookware range, it is designed for professionals who want reliable cookware performance. Key attributes: handcrafted, space saving, energy efficient, eco friendly, durable.",2425.54,handcrafted|space-saving|energy-efficient|eco-friendly|durable,0.2772,0.0001066791078572117,0,2025-11-11,0.7052
13,Lumitek Heritage Camera 845,Electronics,Cameras,Lumitek,"Lumitek Heritage Cameras built for professional use. This Electronics product features long battery and voice assistant construction. Part of the Lumitek Cameras range, it is designed for value-conscious shoppers who want reliable cameras performance. Key attributes: long battery, voice assistant, bluetooth.",12550.64,long-battery|voice-assistant|bluetooth,0.6515,6.775298433442716e-05,0,2025-03-19,0.9564
14,Silkroute Classic Activewear 399,Fashion,Activewear,Silkroute,"Silkroute Classic Activewear built for gifting. This Fashion product features casual and sustainable construction. Part of the Silkroute Activewear range, it is designed for value-conscious shoppers who want reliable activewear performance. Key attributes: casual, sustainable, leather.",2771.22,casual|sustainable|leather,0.8839,6.636997422345216e-05,0,2025-04-24,0.7424
15,Spicehaus Prime Breakfast 596,Grocery & Gourmet,Breakfast,Spicehaus,"Spicehaus Prime Breakfast built for daily use. This Grocery & Gourmet product features farm sourced and high protein construction. Part of the Spicehaus Breakfast range, it is designed for value-conscious shoppers who want reliable breakfast performance. Key attributes: farm sourced, high protein, vegan.",98.87,farm-sourced|high-protein|vegan,0.6726,7.080712321488826e-05,0,2026-05-27,0.0148
16,Everhome Lite Furniture 324,Home & Kitchen,Furniture,Everhome,"Everhome Lite Furniture built for home use. This Home & Kitchen product features energy efficient and handcrafted construction. Part of the Everhome Furniture range, it is designed for enthusiasts who want reliable furniture performance. Key attributes: energy efficient, handcrafted, premium finish, dishwasher safe.",1096.05,energy-efficient|handcrafted|premium-finish|dishwasher-safe,0.8929,0.00017984896045384593,0,2025-12-06,0.456
17,Byteforge Essential Tablet 115,Electronics,Tablets,Byteforge,"Byteforge Essential Tablets built for travel. This Electronics product features fast charging and touchscreen construction. Part of the Byteforge Tablets range, it is designed for frequent travellers who want reliable tablets performance. Key attributes: fast charging, touchscreen, high resolution.",20501.04,fast-charging|touchscreen|high-resolution,0.396,0.00046687167970186223,0,2025-01-20,0.9832
18,Orchardly Lite Dry Fruit 554,Grocery & Gourmet,Dry Fruits,Orchardly,"Orchardly Lite Dry Fruits built for everyday convenience. This Grocery & Gourmet product features artisanal and high protein construction. Part of the Orchardly Dry Fruits range, it is designed for enthusiasts who want reliable dry fruits performance. Key attributes: artisanal, high protein, single origin, vegan.",140.74,artisanal|high-protein|single-origin|vegan,0.8139,5.7749980121998955e-05,0,2025-09-16,0.0304
19,Purefarm Max Beverage 405,Grocery & Gourmet,Beverages,Purefarm,"Purefarm Max Beverages built for gifting. This Grocery & Gourmet product features organic and gluten free construction. Part of the Purefarm Beverages range, it is designed for gift shoppers who want reliable beverages performance. Key attributes: organic, gluten free, vegan, sugar free.",878.22,organic|gluten-free|vegan|sugar-free,0.5715,6.540237960311233e-05,0,2025-10-08,0.3876
20,Wellspring Ultra Medical Device 790,Health & Wellness,Medical Devices,Wellspring,"Wellspring Ultra Medical Devices built for outdoor use. This Health & Wellness product features rechargeable and sports nutrition construction. Part of the Wellspring Medical Devices range, it is designed for frequent travellers who want reliable medical devices performance. Key attributes: rechargeable, sports nutrition, hypoallergenic, ayurvedic, iso certified.",2913.78,rechargeable|sports-nutrition|hypoallergenic|ayurvedic|iso-certified,0.8721,1.7809655473971592e-07,1,2026-06-19,0.7564
21,Urbanknot Prime Handbag 274,Fashion,Handbags,Urbanknot,"Urbanknot Prime Handbags built for outdoor use. This Fashion product features sustainable and slim fit construction. Part of the Urbanknot Handbags range, it is designed for students who want reliable handbags performance. Key attributes: sustainable, slim fit, printed, cotton, breathable.",2612.44,sustainable|slim-fit|printed|cotton|breathable,0.9347,0.00014739825427021545,0,2024-11-10,0.7252
22,Gearhaus Prime Electronics & GPS 933,Automotive,Electronics & GPS,Gearhaus,"Gearhaus Prime Electronics & GPS built for everyday convenience. This Automotive product features weatherproof and universal fit construction. Part of the Gearhaus Electronics & GPS range, it is designed for value-conscious shoppers who want reliable electronics & gps performance. Key attributes: weatherproof, universal fit, certified, impact resistant, long life.",532.3,weatherproof|universal-fit|certified|impact-resistant|long-life,0.6172,0.0001720033658562339,0,2024-11-05,0.2488
23,Nutriva Prime Condiment 189,Grocery & Gourmet,Condiments,Nutriva,"Nutriva Prime Condiments built for daily use. This Grocery & Gourmet product features wholegrain and cold pressed construction. Part of the Nutriva Condiments range, it is designed for frequent travellers who want reliable condiments performance. Key attributes: wholegrain, cold pressed, organic.",126.38,wholegrain|cold-pressed|organic,0.7463,0.00010866096590134028,0,2025-07-24,0.0248
24,Peakstride Everyday Cycling 809,Sports & Outdoors,Cycling,Peakstride,"Peakstride Everyday Cycling built for professional use. This Sports & Outdoors product features shock absorbing and lightweight construction. Part of the Peakstride Cycling range, it is designed for value-conscious shoppers who want reliable cycling performance. Key attributes: shock absorbing, lightweight, breathable.",5348.9,shock-absorbing|lightweight|breathable,0.9372,0.001193793975794027,0,2025-07-09,0.8616
25,Marlowe Everyday Footwear 434,Fashion,Footwear,Marlowe,"Marlowe Everyday Footwear built for professional use. This Fashion product features leather and lightweight construction. Part of the Marlowe Footwear range, it is designed for frequent travellers who want reliable footwear performance. Key attributes: leather, lightweight, handcrafted.",836.54,leather|lightweight|handcrafted,0.6882,0.0007029828144457349,0,2025-02-06,0.3788
26,Coppernest Classic Dinnerware 457,Home & Kitchen,Dinnerware,Coppernest,"Coppernest Classic Dinnerware built for outdoor use. This Home & Kitchen product features handcrafted and modular construction. Part of the Coppernest Dinnerware range, it is designed for students who want reliable dinnerware performance. Key attributes: handcrafted, modular, compact, minimalist, dishwasher safe.",3543.42,handcrafted|modular|compact|minimalist|dishwasher-safe,0.8734,0.0001673067165659802,0,2025-04-08,0.7936
27,Marlowe Elite Activewear 676,Fashion,Activewear,Marlowe,"Marlowe Elite Activewear built for everyday convenience. This Fashion product features slim fit and seasonal construction. Part of the Marlowe Activewear range, it is designed for first-time buyers who want reliable activewear performance. Key attributes: slim fit, seasonal, everyday, cotton, leather.",1067.88,slim-fit|seasonal|everyday|cotton|leather,0.4528,0.00021566217090123154,0,2025-09-09,0.4464
28,Grainmill Everyday Condiment 592,Grocery & Gourmet,Condiments,Grainmill,"Grainmill Everyday Condiments built for everyday convenience. This Grocery & Gourmet product features vegan and single origin construction. Part of the Grainmill Condiments range, it is designed for students who want reliable condiments performance. Key attributes: vegan, single origin, high protein, artisanal.",419.04,vegan|single-origin|high-protein|artisanal,0.8959,7.021839672686731e-05,0,2025-10-09,0.192
29,Fieldnote Essential Snack 424,Grocery & Gourmet,Snacks,Fieldnote,"Fieldnote Essential Snacks built for everyday convenience. This Grocery & Gourmet product features high protein and sugar free construction. Part of the Fieldnote Snacks range, it is designed for value-conscious shoppers who want reliable snacks performance. Key attributes: high protein, sugar free, resealable, gluten free.",155.34,high-protein|sugar-free|resealable|gluten-free,0.9527,6.285104017089969e-05,0,2024-07-13,0.0404
30,Denimworks Compact Handbag 561,Fashion,Handbags,Denimworks,"Denimworks Compact Handbags built for outdoor use. This Fashion product features slim fit and cotton construction. Part of the Denimworks Handbags range, it is designed for frequent travellers who want reliable handbags performance. Key attributes: slim fit, cotton, casual.",456.51,slim-fit|cotton|casual,0.9349,4.166871523684794e-07,1,2026-06-16,0.2116
31,Verdant Ultra Footwear 918,Fashion,Footwear,Verdant,"Verdant Ultra Footwear built for home use. This Fashion product features seasonal and printed construction. Part of the Verdant Footwear range, it is designed for frequent travellers who want reliable footwear performance. Key attributes: seasonal, printed, formal.",3461.87,seasonal|printed|formal,0.6699,6.336571050078518e-07,1,2026-06-19,0.7872
32,Vitalume Advanced Vision Care 664,Health & Wellness,Vision Care,Vitalume,"Vitalume Advanced Vision Care built for travel. This Health & Wellness product features immunity and portable construction. Part of the Vitalume Vision Care range, it is designed for first-time buyers who want reliable vision care performance. Key attributes: immunity, portable, rechargeable.",5892.66,immunity|portable|rechargeable,0.486,0.0006120985139857103,0,2026-04-04,0.878
33,Everhome Essential Dinnerware 791,Home & Kitchen,Dinnerware,Everhome,"Everhome Essential Dinnerware built for gifting. This Home & Kitchen product features handcrafted and eco friendly construction. Part of the Everhome Dinnerware range, it is designed for frequent travellers who want reliable dinnerware performance. Key attributes: handcrafted, eco friendly, minimalist, premium finish.",659.21,handcrafted|eco-friendly|minimalist|premium-finish,0.7282,0.0001398368798926315,0,2024-07-23,0.3036
34,Trailmark Heritage Camping Gear 101,Sports & Outdoors,Camping Gear,Trailmark,"Trailmark Heritage Camping Gear built for travel. This Sports & Outdoors product features beginner friendly and ergonomic construction. Part of the Trailmark Camping Gear range, it is designed for professionals who want reliable camping gear performance. Key attributes: beginner friendly, ergonomic, compact, adjustable.",1936.33,beginner-friendly|ergonomic|compact|adjustable,0.6765,8.564893194436892e-05,0,2026-03-23,0.6408
35,Vitalume Lite Personal Safety 176,Health & Wellness,Personal Safety,Vitalume,"Vitalume Lite Personal Safety built for home use. This Health & Wellness product features sugar free and iso certified construction. Part of the Vitalume Personal Safety range, it is designed for value-conscious shoppers who want reliable personal safety performance. Key attributes: sugar free, iso certified, ayurvedic.",1479.41,sugar-free|iso-certified|ayurvedic,0.5892,5.816361896462762e-05,0,2025-12-16,0.5484
36,Northloom Everyday Watche 666,Fashion,Watches,Northloom,"Northloom Everyday Watches built for everyday convenience. This Fashion product features cotton and handcrafted construction. Part of the Northloom Watches range, it is designed for first-time buyers who want reliable watches performance. Key attributes: cotton, handcrafted, sustainable.",764.76,cotton|handcrafted|sustainable,0.5665,6.529236719933279e-05,0,2026-05-05,0.3504
37,Wondertoy Advanced Board Game 657,Toys & Games,Board Games,Wondertoy,"Wondertoy Advanced Board Games built for travel. This Toys & Games product features multiplayer and creative construction. Part of the Wondertoy Board Games range, it is designed for frequent travellers who want reliable board games performance. Key attributes: multiplayer, creative, age 3 plus, outdoor, wooden.",319.75,multiplayer|creative|age-3-plus|outdoor|wooden,0.7461,0.003932338473825961,0,2024-11-27,0.1436
38,Spicehaus Everyday Snack 965,Grocery & Gourmet,Snacks,Spicehaus,"Spicehaus Everyday Snacks built for home use. This Grocery & Gourmet product features resealable and single origin construction. Part of the Spicehaus Snacks range, it is designed for first-time buyers who want reliable snacks performance. Key attributes: resealable, single origin, organic.",136.76,resealable|single-origin|organic,0.7865,0.0015823896718318029,0,2026-03-20,0.0288
39,Casaform Compact Furniture 846,Home & Kitchen,Furniture,Casaform,"Casaform Compact Furniture built for daily use. This Home & Kitchen product features durable and compact construction. Part of the Casaform Furniture range, it is designed for gift shoppers who want reliable furniture performance. Key attributes: durable, compact, space saving, minimalist.",2673.03,durable|compact|space-saving|minimalist,0.5885,2.816685036414851e-06,1,2026-06-27,0.7336
40,Cassia Advanced Footwear 578,Fashion,Footwear,Cassia,"Cassia Advanced Footwear built for everyday convenience. This Fashion product features handcrafted and everyday construction. Part of the Cassia Footwear range, it is designed for professionals who want reliable footwear performance. Key attributes: handcrafted, everyday, cotton.",643.37,handcrafted|everyday|cotton,0.7298,2.2824141270374266e-06,1,2026-06-02,0.294
41,Herbwell Classic Medical Device 786,Health & Wellness,Medical Devices,Herbwell,"Herbwell Classic Medical Devices built for gifting. This Health & Wellness product features rechargeable and plant based construction. Part of the Herbwell Medical Devices range, it is designed for students who want reliable medical devices performance. Key attributes: rechargeable, plant based, doctor recommended, hypoallergenic.",2252.58,rechargeable|plant-based|doctor-recommended|hypoallergenic,0.9117,0.0016290666324302009,0,2026-04-24,0.6836
42,Zentro Prime Smartphone 579,Electronics,Smartphones,Zentro,"Zentro Prime Smartphones built for long-term use. This Electronics product features high resolution and waterproof construction. Part of the Zentro Smartphones range, it is designed for value-conscious shoppers who want reliable smartphones performance. Key attributes: high resolution, waterproof, noise cancelling, bluetooth.",53988.66,high-resolution|waterproof|noise-cancelling|bluetooth,0.8298,8.470358296890781e-05,0,2024-06-22,1.0
43,Vestira Heritage Sunglasse 287,Fashion,Sunglasses,Vestira,"Vestira Heritage Sunglasses built for daily use. This Fashion product features cotton and casual construction. Part of the Vestira Sunglasses range, it is designed for gift shoppers who want reliable sunglasses performance. Key attributes: cotton, casual, everyday, lightweight.",2378.48,cotton|casual|everyday|lightweight,0.6607,1.888362250562383e-06,1,2026-06-10,0.698
44,Claypeak Everyday Bedding 632,Home & Kitchen,Bedding,Claypeak,"Claypeak Everyday Bedding built for outdoor use. This Home & Kitchen product features compact and space saving construction. Part of the Claypeak Bedding range, it is designed for gift shoppers who want reliable bedding performance. Key attributes: compact, space saving, stainless steel, modular.",582.48,compact|space-saving|stainless-steel|modular,0.7895,6.595748263194144e-05,0,2025-03-30,0.2692
45,Roastcraft Everyday Breakfast 853,Grocery & Gourmet,Breakfast,Roastcraft,"Roastcraft Everyday Breakfast built for daily use. This Grocery & Gourmet product features single origin and vegan construction. Part of the Roastcraft Breakfast range, it is designed for enthusiasts who want reliable breakfast performance. Key attributes: single origin, vegan, gluten free.",844.01,single-origin|vegan|gluten-free,0.8292,0.0006489549638286022,0,2025-04-28,0.3808
46,Casaform Prime Cookware 761,Home & Kitchen,Cookware,Casaform,"Casaform Prime Cookware built for everyday convenience. This Home & Kitchen product features handcrafted and compact construction. Part of the Casaform Cookware range, it is designed for students who want reliable cookware performance. Key attributes: handcrafted, compact, eco friendly, energy efficient.",2459.23,handcrafted|compact|eco-friendly|energy-efficient,0.8307,9.353080206640045e-05,0,2025-12-02,0.7084
47,Urbanknot Pro Footwear 546,Fashion,Footwear,Urbanknot,"Urbanknot Pro Footwear built for professional use. This Fashion product features casual and formal construction. Part of the Urbanknot Footwear range, it is designed for first-time buyers who want reliable footwear performance. Key attributes: casual, formal, printed.",3265.32,casual|formal|printed,0.8629,5.651202482003114e-05,0,2025-04-08,0.7772
48,Everhome Everyday Small Appliance 648,Home & Kitchen,Small Appliances,Everhome,"Everhome Everyday Small Appliances built for travel. This Home & Kitchen product features compact and premium finish construction. Part of the Everhome Small Appliances range, it is designed for families who want reliable small appliances performance. Key attributes: compact, premium finish, minimalist.",5781.81,compact|premium-finish|minimalist,0.7931,6.671093506384683e-05,0,2024-10-28,0.8732
49,Terracot Heritage Dinnerware 398,Home & Kitchen,Dinnerware,Terracot,"Terracot Heritage Dinnerware built for outdoor use. This Home & Kitchen product features non stick and compact construction. Part of the Terracot Dinnerware range, it is designed for first-time buyers who want reliable dinnerware performance. Key attributes: non stick, compact, handcrafted, space saving.",4004.7,non-stick|compact|handcrafted|space-saving,0.6812,7.791997208907205e-05,0,2025-06-10,0.814
50,Spicehaus Advanced Baking 494,Grocery & Gourmet,Baking,Spicehaus,"Spicehaus Advanced Baking built for professional use. This Grocery & Gourmet product features high protein and farm sourced construction. Part of the Spicehaus Baking range, it is designed for enthusiasts who want reliable baking performance. Key attributes: high protein, farm sourced, resealable, vegan.",630.24,high-protein|farm-sourced|resealable|vegan,0.8221,0.000293912023512458,0,2025-09-22,0.29
51,Torqline Advanced Lubricant 307,Automotive,Lubricants,Torqline,"Torqline Advanced Lubricants built for long-term use. This Automotive product features compact and anti rust construction. Part of the Torqline Lubricants range, it is designed for students who want reliable lubricants performance. Key attributes: compact, anti rust, oem grade, impact resistant.",1065.34,compact|anti-rust|oem-grade|impact-resistant,0.9503,0.0003041051425326874,0,2025-11-05,0.4456
52,Terracot Classic Lighting 309,Home & Kitchen,Lighting,Terracot,"Terracot Classic Lighting built for long-term use. This Home & Kitchen product features durable and space saving construction. Part of the Terracot Lighting range, it is designed for students who want reliable lighting performance. Key attributes: durable, space saving, dishwasher safe.",329.64,durable|space-saving|dishwasher-safe,0.683,0.00028904328385972734,0,2025-04-05,0.148
53,Roastcraft Compact Dry Fruit 269,Grocery & Gourmet,Dry Fruits,Roastcraft,"Roastcraft Compact Dry Fruits built for outdoor use. This Grocery & Gourmet product features organic and farm sourced construction. Part of the Roastcraft Dry Fruits range, it is designed for first-time buyers who want reliable dry fruits performance. Key attributes: organic, farm sourced, resealable.",310.02,organic|farm-sourced|resealable,0.7497,8.943382316607631e-05,0,2024-09-04,0.1396
54,Purefarm Lite Beverage 562,Grocery & Gourmet,Beverages,Purefarm,"Purefarm Lite Beverages built for daily use. This Grocery & Gourmet product features resealable and high protein construction. Part of the Purefarm Beverages range, it is designed for professionals who want reliable beverages performance. Key attributes: resealable, high protein, farm sourced.",436.61,resealable|high-protein|farm-sourced,0.8769,0.00010078578953760274,0,2025-07-23,0.1992
55,Purefarm Ultra Dry Fruit 209,Grocery & Gourmet,Dry Fruits,Purefarm,"Purefarm Ultra Dry Fruits built for home use. This Grocery & Gourmet product features organic and no preservatives construction. Part of the Purefarm Dry Fruits range, it is designed for professionals who want reliable dry fruits performance. Key attributes: organic, no preservatives, vegan, high protein, artisanal.",295.25,organic|no-preservatives|vegan|high-protein|artisanal,0.7275,0.00016398135688584483,0,2025-02-13,0.1284
56,Bindery Pro Comic 559,Books & Media,Comics,Bindery,"Bindery Pro Comics built for outdoor use. This Books & Media product features critically acclaimed and annotated construction. Part of the Bindery Comics range, it is designed for value-conscious shoppers who want reliable comics performance. Key attributes: critically acclaimed, annotated, hardcover.",298.72,critically-acclaimed|annotated|hardcover,0.7732,4.6570531385480855e-07,1,2026-06-29,0.1316
57,Lumitek Classic Tablet 789,Electronics,Tablets,Lumitek,"Lumitek Classic Tablets built for professional use. This Electronics product features voice assistant and portable construction. Part of the Lumitek Tablets range, it is designed for families who want reliable tablets performance. Key attributes: voice assistant, portable, long battery, professional, fast charging.",7687.03,voice-assistant|portable|long-battery|professional|fast-charging,0.7977,0.00034758031094098943,0,2025-06-19,0.9072
58,Purefarm Lite Spice 830,Grocery & Gourmet,Spices,Purefarm,"Purefarm Lite Spices built for travel. This Grocery & Gourmet product features no preservatives and sugar free construction. Part of the Purefarm Spices range, it is designed for professionals who want reliable spices performance. Key attributes: no preservatives, sugar free, high protein.",209.81,no-preservatives|sugar-free|high-protein,0.8399,0.00012334427654571987,0,2026-03-18,0.0792
59,Brickworks Max Puzzle 121,Toys & Games,Puzzles,Brickworks,"Brickworks Max Puzzles built for daily use. This Toys & Games product features creative and collectible construction. Part of the Brickworks Puzzles range, it is designed for enthusiasts who want reliable puzzles performance. Key attributes: creative, collectible, outdoor, family, battery operated.",287.63,creative|collectible|outdoor|family|battery-operated,0.7261,0.00036383218954129766,0,2025-10-03,0.1232
60,Juniora Advanced Outdoor Play 899,Toys & Games,Outdoor Play,Juniora,"Juniora Advanced Outdoor Play built for everyday convenience. This Toys & Games product features wooden and collectible construction. Part of the Juniora Outdoor Play range, it is designed for frequent travellers who want reliable outdoor play performance. Key attributes: wooden, collectible, multiplayer.",814.12,wooden|collectible|multiplayer,0.6131,9.444783724053553e-05,0,2024-08-09,0.3704
61,Vestira Ultra Men's Clothing 882,Fashion,Men's Clothing,Vestira,"Vestira Ultra Men's Clothing built for outdoor use. This Fashion product features printed and formal construction. Part of the Vestira Men's Clothing range, it is designed for enthusiasts who want reliable men's clothing performance. Key attributes: printed, formal, lightweight.",729.5,printed|formal|lightweight,0.7815,5.852243175156742e-05,0,2024-09-11,0.3348
62,Volante Pro Laptop 686,Electronics,Laptops,Volante,"Volante Pro Laptops built for outdoor use. This Electronics product features portable and professional construction. Part of the Volante Laptops range, it is designed for enthusiasts who want reliable laptops performance. Key attributes: portable, professional, waterproof, high resolution.",6612.68,portable|professional|waterproof|high-resolution,0.7612,9.633126626440585e-05,0,2025-10-27,0.8908
63,Marlowe Signature Footwear 741,Fashion,Footwear,Marlowe,"Marlowe Signature Footwear built for long-term use. This Fashion product features printed and casual construction. Part of the Marlowe Footwear range, it is designed for frequent travellers who want reliable footwear performance. Key attributes: printed, casual, handcrafted, everyday.",990.36,printed|casual|handcrafted|everyday,0.5508,0.0001365891816401137,0,2025-04-08,0.4216
64,Vestira Studio Handbag 589,Fashion,Handbags,Vestira,"Vestira Studio Handbags built for home use. This Fashion product features leather and cotton construction. Part of the Vestira Handbags range, it is designed for enthusiasts who want reliable handbags performance. Key attributes: leather, cotton, slim fit, formal, everyday.",2248.53,leather|cotton|slim-fit|formal|everyday,0.4208,0.00014520810166006667,0,2025-03-31,0.682
65,Northloom Classic Handbag 432,Fashion,Handbags,Northloom,"Northloom Classic Handbags built for gifting. This Fashion product features everyday and casual construction. Part of the Northloom Handbags range, it is designed for students who want reliable handbags performance. Key attributes: everyday, casual, lightweight, slim fit, cotton.",971.79,everyday|casual|lightweight|slim-fit|cotton,0.6162,0.0021335326386415967,0,2024-09-12,0.416
66,Silkroute Classic Sunglasse 539,Fashion,Sunglasses,Silkroute,"Silkroute Classic Sunglasses built for gifting. This Fashion product features sustainable and leather construction. Part of the Silkroute Sunglasses range, it is designed for first-time buyers who want reliable sunglasses performance. Key attributes: sustainable, leather, slim fit, breathable.",754.83,sustainable|leather|slim-fit|breathable,0.4774,0.00012737113793721423,0,2026-05-26,0.3464
67,Volante Signature Smart Watche 656,Electronics,Smart Watches,Volante,"Volante Signature Smart Watches built for professional use. This Electronics product features fast charging and noise cancelling construction. Part of the Volante Smart Watches range, it is designed for families who want reliable smart watches performance. Key attributes: fast charging, noise cancelling, waterproof.",3079.37,fast-charging|noise-cancelling|waterproof,0.7489,0.00014867664042009796,0,2025-10-27,0.7688
68,Vestira Everyday Handbag 468,Fashion,Handbags,Vestira,"Vestira Everyday Handbags built for travel. This Fashion product features lightweight and sustainable construction. Part of the Vestira Handbags range, it is designed for families who want reliable handbags performance. Key attributes: lightweight, sustainable, printed.",548.15,lightweight|sustainable|printed,0.3327,6.040969515176874e-05,0,2025-07-09,0.256
69,Vitalume Everyday Personal Safety 806,Health & Wellness,Personal Safety,Vitalume,"Vitalume Everyday Personal Safety built for outdoor use. This Health & Wellness product features plant based and portable construction. Part of the Vitalume Personal Safety range, it is designed for students who want reliable personal safety performance. Key attributes: plant based, portable, sugar free.",396.79,plant-based|portable|sugar-free,0.8108,0.00017805047627188707,0,2025-05-28,0.18
70,Dermivia Advanced Skincare 981,Beauty & Personal Care,Skincare,Dermivia,"Dermivia Advanced Skincare built for long-term use. This Beauty & Personal Care product features hydrating and organic construction. Part of the Dermivia Skincare range, it is designed for families who want reliable skincare performance. Key attributes: hydrating, organic, vegan, sensitive skin, spf.",648.28,hydrating|organic|vegan|sensitive-skin|spf,0.5083,7.766902217666112e-05,0,2024-12-03,0.298
71,Everhome Signature Storage 426,Home & Kitchen,Storage,Everhome,"Everhome Signature Storage built for daily use. This Home & Kitchen product features dishwasher safe and non stick construction. Part of the Everhome Storage range, it is designed for students who want reliable storage performance. Key attributes: dishwasher safe, non stick, energy efficient, premium finish.",6672.72,dishwasher-safe|non-stick|energy-efficient|premium-finish,0.7816,1.7581879280069578e-07,1,2026-06-20,0.8912
72,Harvestly Elite Organic Food 447,Grocery & Gourmet,Organic Foods,Harvestly,"Harvestly Elite Organic Foods built for travel. This Grocery & Gourmet product features gluten free and sugar free construction. Part of the Harvestly Organic Foods range, it is designed for gift shoppers who want reliable organic foods performance. Key attributes: gluten free, sugar free, wholegrain, farm sourced.",873.15,gluten-free|sugar-free|wholegrain|farm-sourced,0.7118,0.0002822620171130462,0,2025-03-23,0.3868
